Route,Run,0
70,1,13198.882704206364
70,2,13535.356901902978
71,1,9481.270359481248
71,2,9289.696634779084
718,1,6387.141803876044
72,1,5363.249250504286
72,2,5080.701193187859
73,1,9136.929839698681
73,2,8652.236810886177
74,1,10898.20811809327
74,2,11011.111304518055
75,1,13258.145854712115
75,2,13427.228508900109
76,1,13577.82704454057
76,2,13314.495929802892
77,1,12646.94435510075
77,2,12639.257111676188
78,1,9102.882899448647
78,2,9368.428057282372
79,1,11065.358206180526
79,2,11046.35596669553
8,1,9278.687124548118
8,2,9690.305547991073
80,1,12993.2410593222
80,2,12884.35185056972
81,1,18494.22323976134
81,2,18026.374650708436
83,1,11993.739275438886
83,2,11903.210306084464
85,1,10600.44509167902
85,2,10575.774680376118
86,1,14835.118733516607
86,2,14625.33620205546
87,1,9638.280525159647
87,2,9818.555116794527
88,1,13143.672761961187
88,2,12985.21047451389
89,1,17157.27794205349
89,2,17124.460444688644
9,1,8186.95237753435
9,2,8097.1445813567425
90,1,16218.500197147723
90,2,15937.914166044617
91,1,9896.935543133786
91,2,10134.261562926704
92,1,13351.383570835827
92,2,13024.382643088999
93,1,14251.119906778426
93,2,13990.094164745093
94,1,9930.12558698761
94,2,9832.958054726265
95,1,15903.795375488084
95,2,15922.263357818776
96,1,17641.771824187603
96,2,17739.95051445114
969,1,12681.053966803403
969,2,12097.712736278065
97,1,12280.635243246916
97,2,11977.480877986422
98,1,10167.386044396082
98,2,10149.640415500535
99,1,16735.850772487294
99,2,15591.730729097435
A10,1,11091.637537779792
A10,2,11320.83035277948
B11,1,12043.12875489342
B11,2,11672.82985685541
B12,1,15446.375489580223
B12,2,15539.254584412163
B13,1,9381.648008598762
B13,2,7472.546428753224
B14,1,15911.486597646117
B14,2,15514.642939762136
B15,1,11456.824157655763
B15,2,12323.273096679955
B16,1,13077.775727559
B16,2,12888.386340475601
C1,1,9060.589157971104
C1,2,8007.862005766175
C10,1,12453.765871387224
C10,2,12545.138012223999
C11,1,11927.05195449052
C11,2,11239.339618056112
C3,1,5818.173957155285
C3,2,6251.096728706478
D3,1,8971.474648491698
D3,2,9677.78000050082
D6,1,7558.402359757826
D6,2,7450.51049977148
D7,1,8740.985336783868
D7,2,8622.99080399501
D8,1,7901.769813127766
D8,2,7199.5485244449355
E1,1,4380.3033026877365
E1,2,4396.209212177588
E10,1,9754.59544376979
E10,2,9762.253253573386
E11,1,6054.867772905902
E11,2,5746.127263444049
E2,1,9319.926046544997
E2,2,9802.356194812743
E3,1,13776.434284410094
E3,2,13697.535124509015
E5,1,9991.63147506708
E5,2,10235.097029507186
E6,1,11336.53975178347
E6,2,11491.780473225408
E7,1,12658.709938567055
E7,2,12593.149090254776
E7,3,1112.4411984497483
E7,4,983.7111444465448
E8,1,11108.637597844707
E8,2,10873.20259440665
E9,1,9068.812192668818
E9,2,9165.56963470441
EL1,1,7113.97513171452
EL1,2,7033.68534944651
EL2,1,11464.722694533039
EL2,2,11546.079842409637
EL3,1,10996.676289308656
EL3,2,10852.741227522782
G1,1,14826.726785899054
G1,2,13493.538223704923
H10,1,15028.568742282901
H11,1,10206.202898726162
H11,2,10338.857831747486
H12,1,13350.52815796263
H12,2,13323.314443574776
H13,1,11462.78139141907
H13,2,11512.84054771291
H14,1,6146.088533876987
H14,2,6065.509875378642
H17,1,6854.701343908422
H17,2,7120.352964728699
H18,1,12714.79418537631
H19,1,13122.1037568569
H2,1,3966.2466776230167
H20,1,5630.12663808917
H20,2,5485.968789271653
H22,1,11039.381189826137
H22,2,11189.178651034741
H25,1,10700.164943627882
H25,2,10840.611540339558
